date,ep_week,retweets,tweets,total,total_users,tweets_users,retweets_users,total_inhabitants,last_available_confirmed,last_available_deaths,new_week_cases,new_week_deaths,prevalence,mortality,lethality,incidence_cases,incidence_deaths,cases_growth_factor,deaths_growth_factor,new_week_cases_mm,new_week_deaths_mm,incidence_cases_mm,incidence_deaths_mm
2020-09-05,36,569568,319762,889330,663648,306592,430558,211755691.6839929,4125816,126292,275746,5722,1948.3849369947682,59.640427605822275,3.061018717267081,130.21893192439006,2.7021705789797856,1.0465379301969,0.9240956072351422,268569,6309,126.82980617783086,2.9795342373837457
2020-09-12,37,1090474,626610,1717084,800044,383938,511646,211755691.6839929,4318971,131341,193155,5049,2039.6009031224926,62.024779100626354,3.041025281253336,91.21596612772464,2.3843514948040783,0.7004816026343084,0.8823837818944426,244128,5654,115.28773153245429,2.6702155150433464
2020-09-19,38,1015679,534318,1549997,733418,340846,474134,211755691.6839929,4531145,136626,212174,5285,2139.798446013869,64.52057978393779,3.0152643537119217,100.19754289137659,2.4958006833114585,1.0984649633713857,1.0467419290948703,227025,5352,107.21081364783043,2.5274409190317737
2020-09-26,39,1015700,606229,1621929,772557,368936,499193,211755691.6839929,4720957,141508,189812,4882,2229.4357060518473,66.8260668106032,2.9974431031674302,89.63726003797815,2.3054870266653813,0.8946053710633726,0.9237464522232736,198380,5072,93.68358968569315,2.3952130682603063
2020-10-03,40,875347,518767,1394114,678831,324251,428655,211755691.6839929,4908974,146093,188017,4585,2318.2252911179157,68.99129786698599,2.9760393923455286,88.78958506606821,2.165231056382789,0.9905432743978252,0.939164276935682,196667,4917,92.87479599847431,2.3221729221198757
2020-10-10,41,603435,432271,1035706,542185,276486,318042,211755691.6839929,5084513,150302,175539,4209,2401.122236462819,70.97896580947565,2.956074652577346,82.89694534490258,1.9876679424896744,0.9336336607859927,0.9179934569247546,184456,4558,87.10793014964966,2.1527953418459482
2020-10-17,42,879416,440403,1319819,615415,280819,398147,211755691.6839929,5226341,153756,141828,3454,2468.09942081716,72.61009079720654,2.9419435126793294,66.97718435434201,1.6311249877308946,0.8079572060909541,0.8206224756474222,168461,4082,79.5545715884376,1.9280079955344525
2020-10-24,43,813499,561254,1374753,621606,335728,358965,211755691.6839929,5384340,156991,157999,3235,2542.7132357958785,74.1377947159412,2.9156962598944345,74.61381497871848,1.5277039187346393,1.1140183884705417,0.936595251881876,158455,3632,74.82931489265434,1.7154989496517357
2020-10-31,44,589403,460288,1049691,536307,288688,298972,211755691.6839929,5537763,159972,153423,2981,2615.1660698991323,75.54554908433315,2.8887476766340487,72.45283410325335,1.4077543683919505,0.9710377913784264,0.9214837712519319,151083,3223,71.34794447877128,1.5221944249524946
2020-11-07,45,457816,382825,840641,435528,242241,227642,211755691.6839929,5655887,162348,118124,2376,2670.9492222010213,76.66759684659388,2.8704250986626856,55.78315230188888,1.1220477622607428,0.7699236750682753,0.7970479704797048,143182,2864,67.61660046128691,1.3525020164624442
2020-11-14,46,573328,476799,1050127,520524,312213,259206,211755691.6839929,5851389,165739,195502,3391,2763.2735410636046,78.26897056790119,2.832472768431564,92.32431886258405,1.6013737213073145,1.6550573973113,1.427188552188552,155683,2916,73.52010175590874,1.3770586173200023
2020-11-21,47,599579,527258,1126837,578551,313408,324786,211755691.6839929,6056135,169088,204746,3349,2859.9632679709443,79.8505101115928,2.7920117368585737,96.68972690733924,1.581539543691594,1.0472834037503451,0.9876142730757888,172790,3038,81.59906602393741,1.4349870090865504
2020-11-28,48,642585,530402,1172987,558353,327184,289692,211755691.6839929,6297258,172684,241123,3596,2973.8317539051177,81.54869350935779,2.7422093870062176,113.86848593417385,1.6981833977649965,1.1776689166088714,1.073753359211705,213790,3445,100.9608439013657,1.6270322209213015
2020-12-05,49,757855,604908,1362763,650083,362067,364537,211755691.6839929,6580517,176718,283259,4034,3107.598642411101,83.45371904511529,2.6854728891362183,133.76688850598305,1.9050255357575068,1.1747489870315149,1.1218020022246942,243042,3659,114.77503378249872,1.7282494924046992
2020-12-12,50,871834,678627,1550461,652501,376651,359917,211755691.6839929,6884782,181241,304265,4523,3251.2854531788894,85.58967107739869,2.6324871288589824,143.68681076778824,2.135952032283392,1.0741582791720652,1.1212196331184927,276215,4051,130.44072840264838,1.913053655268632
2020-12-19,51,923378,629503,1552881,683608,360826,415934,211755691.6839929,7218141,186461,333359,5220,3408.711682126481,88.05477600963819,2.5832274542711207,157.42622894759214,2.4651049322395107,1.0956205938901944,1.154101260225514,306961,4592,144.95997607378783,2.1686941667601363
2020-12-26,52,895676,561050,1456726,600407,307042,367029,211755691.6839929,7469541,190913,251400,4452,3527.4334024262926,90.15719883690454,2.5558866334624843,118.72172029981093,2.102422827266341,0.7541419310713076,0.8528735632183908,296341,4731,139.94492000506378,2.234493263929748
2021-01-02,53,1219656,719738,1939394,783623,401641,488885,211755691.6839929,7719324,195834,249783,4921,3645.3915068878973,92.48110331421309,2.5369319904178136,117.95810446160569,2.3239044773085498,0.9935680190930788,1.1053459119496856,278180,4864,131.36868456966957,2.297144078938134
2021-01-09,1,198679,125508,324187,56422,27855,31231,211755691.6839929,8081091,202769,361767,6935,3816.2331957809038,95.75610383242784,2.5091785255233483,170.84168889300594,3.275000518214752,0.0,0.0,361767,6935,170.84168889300594,3.275000518214752
