,region,week_last_day,epidemiological_week,total_inhabitants,last_available_confirmed,last_available_deaths,new_week_cases,new_week_deaths,prevalence,mortality,lethality,incidence_cases,incidence_deaths,cases_growth_factor,deaths_growth_factor,new_week_cases_mm,new_week_deaths_mm,incidence_cases_mm,incidence_deaths_mm
79,Norte,24/10/2020,43,18672590.959272966,686050,15791,18097,233,3674.1017971011775,84.56780333506988,2.301727279352817,96.9174553197872,1.2478182621158433,1.385893705008424,1.2072538860103628,15084,213,80.78329015097033,1.1424945461432614
80,Norte,31/10/2020,44,18672590.959272966,702432,15981,16382,190,3761.8346673586097,85.58533754022872,2.275095667623343,87.73287025743238,1.0175342051588423,0.9052329115322981,0.8154506437768241,15845,205,84.86056756251908,1.0996510006628892
81,Norte,07/11/2020,45,18672590.959272966,716005,16145,13573,164,3834.5240977092462,86.46363022257636,2.254872521839931,72.68943035063666,0.8782926823476322,0.8285313148577708,0.8631578947368421,16017,195,85.77991864261874,1.0478817165407726
82,Norte,14/11/2020,46,18672590.959272966,732375,16349,16370,204,3922.192702648458,87.55614063232585,2.232326335552142,87.66860493921183,1.0925104097494938,1.2060708760038312,1.2439024390243902,15441,186,82.69696851576029,0.9961124324186561
83,Norte,21/11/2020,47,18672590.959272966,748441,16522,16066,173,4008.2332528594156,88.4826323033389,2.2075220358050935,86.04055021095768,0.9264916710130511,0.9814294441050703,0.8480392156862745,15336,180,82.13286183360206,0.9657649210367256
84,Norte,28/11/2020,48,18672590.959272966,767391,16754,18950,232,4109.718901216048,89.72509512226969,2.183241659076012,101.4856483566319,1.2424628189307967,1.179509523216731,1.3410404624277457,17128,203,91.7316011689338,1.087154966564447
85,Norte,05/12/2020,49,18672590.959272966,786440,16973,19049,219,4211.734738447999,90.8979371797949,2.158206601902243,102.0158372319515,1.1728420575251919,1.0052242744063324,0.9439655172413793,18021,208,96.51401193318036,1.1139321824896797
86,Norte,12/12/2020,50,18672590.959272966,805153,17188,18713,215,4311.951146769775,92.0493574645799,2.1347495444965117,100.21640832177586,1.1514202847850057,0.9823612788072865,0.9817351598173516,18904,222,101.23929797011975,1.1889083870803314
87,Norte,19/12/2020,51,18672590.959272966,826511,17451,21358,263,4426.332702315999,93.45783902224713,2.1114056558230927,114.38155554622395,1.4084815576672394,1.1413455886282264,1.2232558139534884,19706,232,105.53793369998375,1.2442479666591455
88,Norte,26/12/2020,52,18672590.959272966,843502,17725,16991,274,4517.327037473125,94.92523045494988,2.1013583844495924,90.99433515712572,1.4673914327027513,0.7955332896338608,1.0418250950570342,19020,250,101.86409967504186,1.342431091718332
89,Norte,02/01/2021,53,18672590.959272966,862270,18121,18768,396,4617.837995170078,97.04598595622831,2.1015459194915747,100.51095769695343,2.120755501278429,1.104584780177741,1.4452554744525548,19039,311,101.96228280010102,1.6655428305494733
90,Nordeste,09/01/2021,1,57374243.051191874,1961772,48836,55892,890,3419.2555677808577,85.11833429580297,2.4893820484745426,97.41653576175402,1.5512187223209237,0.0,0.0,55892,890,97.41653576175402,1.5512187223209237
91,Nordeste,07/03/2020,10,57374243.051191874,2,0,2,0,0.003485884769260503,0.0,0.0,0.003485884769260503,0.0,3.5783296357260434e-05,0.0,2,0,0.003485884769260503,0.0
92,Nordeste,14/03/2020,11,57374243.051191874,17,0,15,0,0.029630020538714275,0.0,0.0,0.02614413576945377,0.0,7.5,0.0,18636,296,32.48205526076425,0.5170729074403079
93,Nordeste,21/03/2020,12,57374243.051191874,191,0,174,0,0.33290199546437804,0.0,0.0,0.30327197492566377,0.0,11.6,0.0,63,0,0.11096733182145935,0.0
94,Nordeste,28/03/2020,13,57374243.051191874,655,11,464,11,1.1416272619328147,0.019172366230932766,1.6793893129770994,0.8087252664684367,0.019172366230932766,2.6666666666666665,0.0,217,3,0.37938045905451806,0.006390788743644255
95,Nordeste,04/04/2020,14,57374243.051191874,1680,64,1025,53,2.9281432061788224,0.11154831261633609,3.8095238095238098,1.7865159442460077,0.09237594638540333,2.209051724137931,4.818181818181818,554,21,0.966171061880036,0.03718277087211203
96,Nordeste,11/04/2020,15,57374243.051191874,4048,231,2368,167,7.055430772983258,0.4026196908495881,5.706521739130435,4.127287566804435,0.291071378233252,2.310243902439024,3.150943396226415,1285,77,2.2408429258396265,0.13420656361652938
97,Nordeste,18/04/2020,16,57374243.051191874,8804,553,4756,322,15.344864754284734,0.9638471387005291,6.281235801908223,8.289433981301476,0.561227447850941,2.008445945945946,1.9281437125748504,2716,180,4.73441249745064,0.3148915908231988
98,Nordeste,25/04/2020,17,57374243.051191874,16823,1040,8019,487,29.32151973663472,1.8126600800154615,6.182012720680021,13.976654982349986,0.8488129413149325,1.686080740117746,1.5124223602484472,5047,325,8.797792176818632,0.5670372557997085
99,Nordeste,02/05/2020,18,57374243.051191874,29084,1863,12261,823,50.69173631458624,3.2471016625661586,6.405583826158713,21.370216577951513,1.4344415825506969,1.5289936401047513,1.6899383983572895,8345,544,14.545435180534326,0.9481606572388568
100,Nordeste,09/05/2020,19,57374243.051191874,50233,3009,21149,1146,87.55322480713143,5.244513635352427,5.990086198315849,36.86148849254519,1.9974119727862683,1.7249000897153577,1.3924665856622114,13809,818,24.069453350948894,1.4268888322172992
101,Nordeste,16/05/2020,20,57374243.051191874,79136,4553,28903,1544,137.9294885500996,7.935616677221535,5.753386575010109,50.376263742968156,2.691103041869108,1.3666367204123127,1.3472949389179756,20771,1171,36.20265627115495,2.0409855324020243
102,Nordeste,23/05/2020,21,57374243.051191874,122357,6555,43221,2002,213.26120135620369,11.424987331251298,5.357274205807596,75.3317128061041,3.4893706540297633,1.4953811023077188,1.2966321243523315,31091,1564,54.18982168053915,2.7259618895617135
103,Nordeste,30/05/2020,22,57374243.051191874,174737,8674,52380,2119,304.5565234631363,15.1182822442828,4.964031659007537,91.29532210693257,3.6932949130315027,1.2119108766571804,1.0584415584415585,41501,1888,72.33443288533493,3.291256202976791
104,Nordeste,06/06/2020,23,57374243.051191874,238429,11157,63692,2483,415.56800982500624,19.446008185319716,4.67938044449291,111.01148636186997,4.327725941036914,1.2159602901870943,1.1717791411042944,53097,2201,92.54617375830223,3.83679716936606
105,Nordeste,13/06/2020,24,57374243.051191874,301278,13674,62849,2517,525.110195756633,23.83299416743406,4.538665285882142,109.54218593162668,4.386985982114343,0.9867644288136658,1.013693113169553,59640,2373,103.94966480014307,4.136002278727586
106,Nordeste,20/06/2020,25,57374243.051191874,374714,15941,73436,2267,653.10491271434,27.784244553390838,4.25417785297587,127.99471695770714,3.9512503859567802,1.1684513675635253,0.9006754072308304,66659,2422,116.18279641706793,4.2219874363693455
107,Nordeste,27/06/2020,26,57374243.051191874,452053,18381,77339,2440,787.902333799259,32.03702397188865,4.066116141248925,134.79742108491902,4.252779418497814,1.053148319625252,1.0763123070136744,71208,2408,124.11144132475094,4.197005262189646
108,Nordeste,04/07/2020,27,57374243.051191874,541509,20788,89456,2407,943.8189877587429,36.23228629169367,3.838902031175844,155.91665395948377,4.195262319805015,1.1566738644151076,0.9864754098360655,80077,2371,139.56959733403664,4.133097374753203
109,Nordeste,11/07/2020,28,57374243.051191874,623441,23083,81932,2295,1086.6217432162687,40.232339064420096,3.7025155547998927,142.80275545752576,4.000052772726427,0.9158916115185118,0.953469048608226,82909,2380,144.50561016730953,4.149364837009752
110,Nordeste,18/07/2020,29,57374243.051191874,694499,25221,71058,2138,1210.471743183325,43.95874988275957,3.6315387063192315,123.8499999670564,3.7264108183394775,0.8672801835668603,0.9315904139433551,80815,2280,140.85646979468865,3.9739086369569727
111,Nordeste,25/07/2020,30,57374243.051191874,784418,27202,89919,1981,1367.1953794668925,47.4115187467121,3.467793956793444,156.72363628356757,3.452768863952528,1.2654310563201892,0.9265668849391955,80969,2138,141.12546390271658,3.7264108183394775
112,Nordeste,01/08/2020,31,57374243.051191874,872782,28970,88364,1768,1521.2087403423602,50.493040882738384,3.3192710207130762,154.01336087546755,3.0815221360262846,0.9827066582146153,0.8924785461887935,83113,1962,144.86233237536385,3.4202339394394303
